Date,Close/Last,Volume,Open,High,Low
02/07/2020,3325.5,1639289,3349,3350,3320.75
02/06/2020,3345.25,1433746,3337,3357.75,3332.5
02/05/2020,3335,1996035,3300.25,3338,3288.25
02/04/2020,3299.5,1653285,3244.25,3305.25,3236
02/03/2020,3245.5,1872747,3222.75,3267.25,3222
01/31/2020,3224,3058044,3292,3297.5,3212.75
01/30/2020,3289.75,2376254,3271.5,3295.25,3239.75
01/29/2020,3272.5,1623469,3281.75,3292.75,3265.25
01/28/2020,3278.25,1839918,3239.5,3285,3238.75
01/27/2020,3239.5,2513858,3269.75,3269.75,3233
01/24/2020,3293.5,2434497,3285.5,3299.75,3280.5
01/23/2020,3326,1665164,3317.25,3327,3301.25
01/22/2020,3319.75,1462859,3321.25,3337.5,3315.25
01/21/2020,3319.5,1488232,3325.5,3329.75,3307.25
01/17/2020,3324.9,1212577,3316.75,3330.25,3316
01/16/2020,3316.5,1300633,3294.25,3318,3294
01/15/2020,3293.75,1421121,3287.75,3299,3277.75
01/14/2020,3288,1641265,3289.25,3296.75,3275.25
01/13/2020,3289.75,961578,3265.75,3291,3265.5
01/10/2020,3264.7,1459638,3275.5,3287,3260.75
01/09/2020,3276,1228994,3272.75,3276.75,3270.25
01/08/2020,3260.25,2225898,3260.5,3262.5,3252
01/07/2020,3235.25,1229891,3243.5,3254.5,3226
01/06/2020,3243.5,1461895,3220.25,3249.5,3208.75
01/03/2020,3235.4,1684630,3261,3263.5,3206.75
01/02/2020,3259,1364509,3237,3261.75,3234.25
12/31/2019,3231,1106942,3223.25,3236.25,3213
12/30/2019,3223.5,1089803,3238.25,3244.25,3217.25
12/27/2019,3237.6,935286,3242,3254,3235.5
12/26/2019,3244.5,445120,3227.5,3244.75,3227
12/24/2019,3225.75,281241,3228.25,3231.25,3222.5
12/23/2019,3227.25,603086,3227,3234.25,3224.25
12/20/2019,3225.7,1224178,3213.5,3229.5,3208.5
12/19/2019,3211.75,1085015,3199.5,3213.75,3194.5
12/18/2019,3199.25,1149828,3192.5,3203,3192
12/17/2019,3192,989600,3192.5,3199.25,3187.75
12/16/2019,3194.25,1356056,3176.5,3198.75,3173.75
12/13/2019,3172,1793569,3175.75,3185,3156.75
12/12/2019,3168,2337750,3164.25,3174,3159.25
12/11/2019,3143,1190537,3140.5,3144.5,3138.25
12/10/2019,3136,1402111,3133.5,3143,3116.25
12/09/2019,3134.5,1106134,3146.5,3149.5,3131.25
12/06/2019,3146.1,1243697,3117.75,3151,3117
12/05/2019,3117.75,1283900,3111,3124.75,3103.25
12/04/2019,3111,1443730,3091.75,3119.5,3081.75
12/03/2019,3091,2101310,3114.25,3121.75,3069.5
12/02/2019,3114.25,1877336,3146.25,3158,3110.25
11/29/2019,3143.7,853213,3150,3155,3139.5
